result_id,method_id,metric,direction,planned_root_count,included_root_count,final_n,final_mean,final_ci_lower,final_ci_upper,time_average_n,time_average_mean,time_average_ci_lower,time_average_ci_upper
RESULT-PA-dqn,dqn,return_mean,higher-is-better,12,12,12,-1.8624999999999996,-2.9879882047280666,-0.7370117952719326,12,-2.862499999999999,-3.8110761391269325,-1.9139238608730653
RESULT-PA-dyna_q_plus,dyna_q_plus,return_mean,higher-is-better,12,12,12,-0.09999999999999987,-0.09999999999999987,-0.09999999999999987,12,-0.4851562499999999,-0.5119309885158451,-0.4583815114841547
RESULT-PA-ppo,ppo,return_mean,higher-is-better,12,12,12,-1.8624999999999996,-3.1555874999999993,-0.5694124999999997,12,-2.9042968749999996,-3.9646457319042305,-1.8439480180957686
RESULT-PA-q_learning,q_learning,return_mean,higher-is-better,12,12,12,-0.09999999999999987,-0.09999999999999987,-0.09999999999999987,12,-1.6279296874999993,-1.8310013495504525,-1.4248580254495462
RESULT-PA-sarsa,sarsa,return_mean,higher-is-better,12,12,12,-0.09999999999999987,-0.09999999999999987,-0.09999999999999987,12,-1.6111328124999995,-1.7923724648249915,-1.4298931601750076
