original_path,sha256,linked_source_id,research_material_id,immutable_url,storage
originals/SRC-13CFB90F59.pdf,13cfb90f59eb5bcf625ed8b728e38c0749a81f0fc07930897a3399b0fc1e3834,SRC-13CFB90F59,MAT-13CFB90F59,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-13CFB90F59.pdf,Git LFS in ThesisBibliography
originals/SRC-13CFB90F59__alternative-6799C781D0.pdf,6799c781d0337086ec9511aced5e1cf42855bc1c7acc27a50bdac508d88f3bab,,MAT-6799C781D0,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-13CFB90F59__alternative-6799C781D0.pdf,Git LFS in ThesisBibliography
originals/SRC-153C917DE1.pdf,fd30901b289b595b0bf43f4360a8de24807fd63e64c23d140e7eda81ca0c24ef,SRC-153C917DE1,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-153C917DE1.pdf,Git LFS in ThesisBibliography
originals/SRC-1741644D7F.pdf,4dd40b7d235548c97c0832cadb2d88b6b7351057f2055570d76a3e6c1da920d8,SRC-1741644D7F,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-1741644D7F.pdf,Git LFS in ThesisBibliography
originals/SRC-1791ECC7FA.pdf,1a9cf48a3703cc291c7ab373179570599e2bdb4efe2ae6f9d8f1a6d923faddfd,SRC-1791ECC7FA,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-1791ECC7FA.pdf,Git LFS in ThesisBibliography
originals/SRC-18D64222C0.pdf,86adec40e93ffd4d5c211cb8191603f7cf796a3b2281afe6e95750b88eb02c30,SRC-18D64222C0,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-18D64222C0.pdf,Git LFS in ThesisBibliography
originals/SRC-19C2E91926.pdf,86e09ca0acb67e6bcdd2ec766e4302add4dd851c5b620b0a4e1a625446833a62,SRC-19C2E91926,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-19C2E91926.pdf,Git LFS in ThesisBibliography
originals/SRC-1B40F8B37A.pdf,b044f28a164e302820c8be1cfa25433e0128bc5ba0780990c06dff9d6731f5f5,SRC-1B40F8B37A,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-1B40F8B37A.pdf,Git LFS in ThesisBibliography
originals/SRC-1BB6DA9CB7.pdf,e6f3daa12d683d8f18a160510127c9572053c4ff1180841532dcc1acfba8e6fc,SRC-1BB6DA9CB7,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-1BB6DA9CB7.pdf,Git LFS in ThesisBibliography
originals/SRC-1D07EB467A.pdf,70dcac792013f0e4ab8672cce5cb0eeae6586a808c4927eed0bd9368fff71b2b,SRC-1D07EB467A,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-1D07EB467A.pdf,Git LFS in ThesisBibliography
originals/SRC-1E3C1CF3A7.pdf,2bd2d36f416dc7ce2ede050c983b52b2f772f7211cc28b9af1734174fbf411bc,SRC-1E3C1CF3A7,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-1E3C1CF3A7.pdf,Git LFS in ThesisBibliography
originals/SRC-1E5026EDE1.pdf,faf5d519f26090d75de9984cf5a58332b7bef646d4a174313f75b41f7e950fc6,SRC-1E5026EDE1,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-1E5026EDE1.pdf,Git LFS in ThesisBibliography
originals/SRC-1FE2A54527.pdf,5d0a213ce6d11ba886c2b87a399c2e9f5aacd873efee6ebd4d0087bdbb27866e,SRC-1FE2A54527,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-1FE2A54527.pdf,Git LFS in ThesisBibliography
originals/SRC-211B10ADBA.pdf,fa573a8b9fb835968f3f37d094900049d9f3fd5f89cd8f452f32cc498dc66b98,SRC-211B10ADBA,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-211B10ADBA.pdf,Git LFS in ThesisBibliography
originals/SRC-21EBE15D15.pdf,55cf137243bca83d183f78068fe9ed2c920ff7b7707e517e6cbae70f2473d395,SRC-21EBE15D15,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-21EBE15D15.pdf,Git LFS in ThesisBibliography
originals/SRC-23A2C07D09.pdf,134a3f08303a09bd9bb95fb36c83da5039f8ed1a1d43e7a0da4a49897e54b3c3,SRC-23A2C07D09,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-23A2C07D09.pdf,Git LFS in ThesisBibliography
originals/SRC-23E79861CF.pdf,07a6b31d69866f250d41608c732245164d58e63f998756b39f87d6328ba0806e,SRC-23E79861CF,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-23E79861CF.pdf,Git LFS in ThesisBibliography
originals/SRC-2455B5D0A7.pdf,7fabe56c39dbeec844a39b5ca9d0def0222f2d5edcc25bdcdad5cb37e359afbf,SRC-2455B5D0A7,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-2455B5D0A7.pdf,Git LFS in ThesisBibliography
originals/SRC-2554BB8102.pdf,f3fb80781228b11acf8e9e579e01e399be538677ff645411ced5f779f5980d08,SRC-2554BB8102,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-2554BB8102.pdf,Git LFS in ThesisBibliography
originals/SRC-255529AC11.pdf,d55a9e0ec578aa78bba4baa20ae552f79d8a2b6aaed115a354a7f6aeabc67e9a,SRC-255529AC11,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-255529AC11.pdf,Git LFS in ThesisBibliography
originals/SRC-2583FFAA52.pdf,f31e762a43fb5d98bcca1f17a18107e7eb245f623debb16bc865f09b16e1f926,SRC-2583FFAA52,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-2583FFAA52.pdf,Git LFS in ThesisBibliography
originals/SRC-27B5CE6877.pdf,5cfbda5b9965df5d9767c1acf0353741f2d0e4a6b5fe56cdef345d45517d61f8,SRC-27B5CE6877,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-27B5CE6877.pdf,Git LFS in ThesisBibliography
originals/SRC-29B8223CEB.pdf,b7e9012eafa43057eff7f4f8df83b66259fba13bf664da178a96c9960e8e1c76,SRC-29B8223CEB,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-29B8223CEB.pdf,Git LFS in ThesisBibliography
originals/SRC-2C9FFED27E.pdf,cd0b6afc7996aa35a0361b961de174e7dd88405eb8934c239f064cad034f7741,SRC-2C9FFED27E,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-2C9FFED27E.pdf,Git LFS in ThesisBibliography
originals/SRC-2CA4104ACF.pdf,a64101e43c39af084a1fd8b57c894d5f23e2a35c691b52bad81bb9564ad1e339,SRC-2CA4104ACF,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-2CA4104ACF.pdf,Git LFS in ThesisBibliography
originals/SRC-2CADA4DAAF.pdf,2cada4daaf663b99f78c4464a9b65f39bd5e6c2e1ab7d1bc7ff6d6a715d3b1c2,SRC-2CADA4DAAF,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-2CADA4DAAF.pdf,Git LFS in ThesisBibliography
originals/SRC-2CEF0D3E68.pdf,040a8ab58970d038947dcb9c93ffd1feb0e7d0844bb23f3707fb23445dea565b,SRC-2CEF0D3E68,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-2CEF0D3E68.pdf,Git LFS in ThesisBibliography
originals/SRC-2E9F8BFC39.pdf,8620819d0dffa7b2f0564c9e11aba521420b3442b6f2cca9206afd295afaaa42,SRC-2E9F8BFC39,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-2E9F8BFC39.pdf,Git LFS in ThesisBibliography
originals/SRC-3174B1019C.pdf,8bd04d9f2b9085124b1d1851bd784a56232b8cb1ce7cb48c41ac242a35146f93,SRC-3174B1019C,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3174B1019C.pdf,Git LFS in ThesisBibliography
originals/SRC-32A0866AF8.pdf,8db04120cace173151c77e0faa6f3eaa4207009da66b9417597dc70bfee56d9c,SRC-32A0866AF8,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-32A0866AF8.pdf,Git LFS in ThesisBibliography
originals/SRC-3856071502.pdf,b88ebb53033d361fe4b1feeca819a1b39a17dfb29f694d6ac2b71ed6a9fcde6f,SRC-3856071502,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3856071502.pdf,Git LFS in ThesisBibliography
originals/SRC-3A5E2C9E2C.pdf,a0c0061076b5ec99a6c4469c3fb2aa52165ace5f9d9a3f5640ebc34a32dde7f5,SRC-3A5E2C9E2C,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3A5E2C9E2C.pdf,Git LFS in ThesisBibliography
originals/SRC-3A95B5303C.pdf,6ff549a04aafe6954d091bc3e4dbae2a7abfa2d5e0534b973115494ebd3c44da,SRC-3A95B5303C,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3A95B5303C.pdf,Git LFS in ThesisBibliography
originals/SRC-3B01300AF5.pdf,bfcb2131d628f4fc12a9b139325fe5e164a719292e3df10a259c5107b3b45385,SRC-3B01300AF5,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3B01300AF5.pdf,Git LFS in ThesisBibliography
originals/SRC-3BF9404CC3.pdf,0ca93dba63cf1b7db3f207620ad37b27f6dc0b62759e1a70e847464768fb85a2,SRC-3BF9404CC3,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3BF9404CC3.pdf,Git LFS in ThesisBibliography
originals/SRC-3C0F7CC819.pdf,df7f6f0f6efc3e042aef923392c0ae342487b0c70a27a3bb0a0898c7fad55b2d,SRC-3C0F7CC819,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3C0F7CC819.pdf,Git LFS in ThesisBibliography
originals/SRC-3C543330E4.pdf,799ed6f241af2cb8ef09de3b4b6ed3370c6b496b7a5d94a7f783ba693c2e66fc,SRC-3C543330E4,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3C543330E4.pdf,Git LFS in ThesisBibliography
originals/SRC-3D30523C80.pdf,3d30523c80d7cee873f46862ea42b044098370e487cbf8beb318ae1b053df624,SRC-3D30523C80,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3D30523C80.pdf,Git LFS in ThesisBibliography
originals/SRC-3D73F42552.pdf,cacdf2f28a874f63952d563e3c671f3aac80020c50685a0ca927eca2faa961ea,SRC-3D73F42552,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3D73F42552.pdf,Git LFS in ThesisBibliography
originals/SRC-3EA1176D3A.pdf,5505488187d475fd585ac1f8e40b00288d0e1ce5419f35b8b78a97c7d8897387,SRC-3EA1176D3A,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3EA1176D3A.pdf,Git LFS in ThesisBibliography
originals/SRC-3EEF180BD3.pdf,b01e4fda614e99689e9546fdca01e33f049f99f27116c53784aec199b16a2e8e,SRC-3EEF180BD3,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3EEF180BD3.pdf,Git LFS in ThesisBibliography
originals/SRC-3EF475E25A.pdf,0a2cdeca82e722cbe6b6e8ad63d5a701205de64c38a3ce17c2ab96d0c0a7bda8,SRC-3EF475E25A,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3EF475E25A.pdf,Git LFS in ThesisBibliography
originals/SRC-3EF7E5F425.pdf,1cf98ce32da00542c696ebc382f272192ac6772ee681e12dc8087e7bb36f369b,SRC-3EF7E5F425,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3EF7E5F425.pdf,Git LFS in ThesisBibliography
originals/SRC-3F2FFDCDA4.pdf,3f2ffdcda46e37aee489649a6475ddb06e8451717eab5a71d10e0007b14343b0,SRC-3F2FFDCDA4,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3F2FFDCDA4.pdf,Git LFS in ThesisBibliography
originals/SRC-3F474DFDF9.pdf,3f474dfdf971095ec1743c87099d17994709b3d9f068b31df163b6307ef1eb9b,SRC-3F474DFDF9,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3F474DFDF9.pdf,Git LFS in ThesisBibliography
originals/SRC-3F84F52F97.pdf,4da928a9844f9f245d4258386cea84d5e8641d034171a2c029802007fcd6e1d8,SRC-3F84F52F97,,https://github.com/MariosGiannakaras/ThesisBibliography/blob/c999dbe272baa081d3666254655aeeec17549c1f/originals/SRC-3F84F52F97.pdf,Git LFS in ThesisBibliography
