method_id,root_id,condition_id,planned_layout_count,observed_layout_count,missing_layout_ids,complete_layout_block,included_in_primary_summary,frozen_loss,adaptive_loss,adaptation_benefit
dqn,t527-final-r01,action-failure-0.15,2,2,[],True,True,2.8249999999999593,2.674999999999957,0.15000000000000213
dqn,t527-final-r01,action-remap-cycle-clockwise,2,2,[],True,True,54.45000000000002,52.900000000000034,1.549999999999983
dqn,t527-final-r01,action-remap-swap-right-down,2,2,[],True,True,50.700000000000045,49.450000000000074,1.2499999999999751
dqn,t527-final-r01,observation-corruption-0.05,2,2,[],True,True,5.799999999999979,0.9249999999999876,4.874999999999992
dqn,t527-final-r02,action-failure-0.15,2,2,[],True,True,3.599999999999949,3.6249999999999467,-0.02499999999999747
dqn,t527-final-r02,action-remap-cycle-clockwise,2,2,[],True,True,54.57500000000002,50.27500000000006,4.299999999999951
dqn,t527-final-r02,action-remap-swap-right-down,2,2,[],True,True,37.70000000000006,39.6250000000001,-1.9250000000000451
dqn,t527-final-r02,observation-corruption-0.05,2,2,[],True,True,0.5249999999999768,1.0249999999999864,-0.5000000000000095
dqn,t527-final-r03,action-failure-0.15,2,2,[],True,True,2.1249999999999654,2.524999999999972,-0.4000000000000066
dqn,t527-final-r03,action-remap-cycle-clockwise,2,2,[],True,True,45.19999999999996,39.75,5.4499999999999655
dqn,t527-final-r03,action-remap-swap-right-down,2,2,[],True,True,24.725,25.800000000000054,-1.0750000000000526
dqn,t527-final-r03,observation-corruption-0.05,2,2,[],True,True,0.6999999999999826,1.399999999999985,-0.7000000000000024
dqn,t527-final-r04,action-failure-0.15,2,2,[],True,True,-0.1500000000000039,-0.15000000000000746,3.552713678800501e-15
dqn,t527-final-r04,action-remap-cycle-clockwise,2,2,[],True,True,33.749999999999915,18.29999999999995,15.449999999999967
dqn,t527-final-r04,action-remap-swap-right-down,2,2,[],True,True,16.19999999999997,4.875000000000021,11.32499999999995
dqn,t527-final-r04,observation-corruption-0.05,2,2,[],True,True,0.5999999999999979,0.12499999999998579,0.4750000000000121
dqn,t527-final-r05,action-failure-0.15,2,2,[],True,True,-0.5500000000000069,1.974999999999981,-2.524999999999988
