method_id,root_id,condition_id,condition_family,primary_recovery_axis,tolerance,status,recovery_time,confirmation_time,censoring_time
dyna_q_plus,t527-final-r11,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
dyna_q_plus,t527-final-r11,action-remap-swap-right-down,action-remap,True,0.05,right-censored,,,256
dyna_q_plus,t527-final-r11,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
dyna_q_plus,t527-final-r11,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dyna_q_plus,t527-final-r11,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
dyna_q_plus,t527-final-r12,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dyna_q_plus,t527-final-r12,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dyna_q_plus,t527-final-r12,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dyna_q_plus,t527-final-r12,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
dyna_q_plus,t527-final-r12,action-remap-swap-right-down,action-remap,True,0.05,right-censored,,,256
dyna_q_plus,t527-final-r12,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
dyna_q_plus,t527-final-r12,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dyna_q_plus,t527-final-r12,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
ppo,t527-final-r01,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
ppo,t527-final-r01,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
ppo,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
ppo,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
ppo,t527-final-r01,action-remap-swap-right-down,action-remap,True,0.05,right-censored,,,256
ppo,t527-final-r01,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
ppo,t527-final-r01,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
ppo,t527-final-r01,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
ppo,t527-final-r02,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
ppo,t527-final-r02,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
ppo,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
ppo,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
ppo,t527-final-r02,action-remap-swap-right-down,action-remap,True,0.05,recovered,32,64,256
ppo,t527-final-r02,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
