result_id,method_id,condition_id,metric,direction,planned_root_count,included_root_count,frozen_loss_n,frozen_loss_mean,frozen_loss_ci_lower,frozen_loss_ci_upper,adaptive_loss_n,adaptive_loss_mean,adaptive_loss_ci_lower,adaptive_loss_ci_upper,adaptation_benefit_n,adaptation_benefit_mean,adaptation_benefit_ci_lower,adaptation_benefit_ci_upper
RESULT-PB-dqn-action-failure-0.15,dqn,action-failure-0.15,return_sum,higher-is-better,12,12,12,1.9354166666666395,0.852471715097394,3.0183616182358852,12,2.129166666666639,1.272004776571344,2.9863285567619338,12,-0.1937499999999992,-0.7695489473884788,0.3820489473884804
RESULT-PB-dqn-action-remap-cycle-clockwise,dqn,action-remap-cycle-clockwise,return_sum,higher-is-better,12,12,12,46.785416666666656,41.43641622899594,52.13441710433737,12,40.16250000000003,33.46415002039279,46.860849979607266,12,6.622916666666622,3.7981934194952545,9.44763991383799
RESULT-PB-dqn-action-remap-swap-right-down,dqn,action-remap-swap-right-down,return_sum,higher-is-better,12,12,12,28.585416666666717,20.417610019701403,36.753223313632034,12,26.862500000000068,18.381502849899476,35.34349715010066,12,1.7229166666666498,-3.523530722557968,6.969364055891267
RESULT-PB-dqn-observation-corruption-0.05,dqn,observation-corruption-0.05,return_sum,higher-is-better,12,12,12,1.039583333333324,-0.02425758976722303,2.103424256433871,12,0.7166666666666552,0.4096024451590885,1.023730888174222,12,0.3229166666666688,-0.7190741563089091,1.3649074896422466
RESULT-PB-dyna_q_plus-action-failure-0.15,dyna_q_plus,action-failure-0.15,return_sum,higher-is-better,12,12,12,3.2562499999999748,2.9906158550927753,3.5218841449071743,12,3.139583333333308,2.7518881475639545,3.5272785191026617,12,0.11666666666666664,-0.2269198450525104,0.4602531783858437
RESULT-PB-dyna_q_plus-action-remap-cycle-clockwise,dyna_q_plus,action-remap-cycle-clockwise,return_sum,higher-is-better,12,12,12,52.920833333333384,52.31662668033713,53.52503998632964,12,26.818750000000147,26.147421594965415,27.49007840503488,12,26.102083333333237,25.34396517322733,26.860201493439146
RESULT-PB-dyna_q_plus-action-remap-swap-right-down,dyna_q_plus,action-remap-swap-right-down,return_sum,higher-is-better,12,12,12,36.77708333333346,33.59969035951654,39.95447630715037,12,27.06458333333347,25.71424447680965,28.41492218985729,12,9.712499999999993,6.49970718171636,12.925292818283626
RESULT-PB-dyna_q_plus-observation-corruption-0.05,dyna_q_plus,observation-corruption-0.05,return_sum,higher-is-better,12,12,12,0.7833333333333252,0.4249127449389456,1.1417539217277048,12,1.1708333333333216,0.7419915593314156,1.5996751073352278,12,-0.38749999999999635,-0.815788717297782,0.04078871729778932
RESULT-PB-ppo-action-failure-0.15,ppo,action-failure-0.15,return_sum,higher-is-better,12,12,12,1.318749999999982,-1.1622069736181395,3.799706973618104,12,2.427083333333318,0.6154765317596109,4.238690134907025,12,-1.108333333333336,-2.9138889513121704,0.6972222846454983
RESULT-PB-ppo-action-remap-cycle-clockwise,ppo,action-remap-cycle-clockwise,return_sum,higher-is-better,12,12,12,46.96249999999998,38.906307159403845,55.01869284059611,12,46.90208333333333,38.46913941049233,55.33502725617433,12,0.06041666666665465,-1.5524860545301675,1.6733193878634767
RESULT-PB-ppo-action-remap-swap-right-down,ppo,action-remap-swap-right-down,return_sum,higher-is-better,12,12,12,40.97500000000001,29.912785167037082,52.03721483296293,12,41.48958333333335,30.277042102511786,52.702124564154914,12,-0.5145833333333399,-1.863783615650088,0.8346169489834082
RESULT-PB-ppo-observation-corruption-0.05,ppo,observation-corruption-0.05,return_sum,higher-is-better,12,12,12,1.2458333333333245,0.462525854866362,2.029140811800287,12,1.7437499999999957,0.6415812356386845,2.845918764361307,12,-0.49791666666667117,-1.2758653481169653,0.280032014783623
RESULT-PB-q_learning-action-failure-0.15,q_learning,action-failure-0.15,return_sum,higher-is-better,12,12,12,3.1520833333333047,2.8181025343839647,3.4860641322826447,12,3.3270833333333036,2.9761566295009056,3.6780100371657016,12,-0.17499999999999938,-0.4512066993179299,0.10120669931793114
RESULT-PB-q_learning-action-remap-cycle-clockwise,q_learning,action-remap-cycle-clockwise,return_sum,higher-is-better,12,12,12,48.931250000000055,45.783042608438116,52.079457391561995,12,16.66250000000012,14.297574056761514,19.027425943238722,12,32.26874999999994,28.90988783205677,35.62761216794311
RESULT-PB-q_learning-action-remap-swap-right-down,q_learning,action-remap-swap-right-down,return_sum,higher-is-better,12,12,12,42.71875000000009,38.918455460020645,46.51904453997954,12,20.054166666666816,18.652332106235914,21.45600122709772,12,22.66458333333328,18.07823571315862,27.25093095350794
RESULT-PB-q_learning-observation-corruption-0.05,q_learning,observation-corruption-0.05,return_sum,higher-is-better,12,12,12,1.2374999999999876,0.8618823864299487,1.6131176135700265,12,3.9354166666666432,2.741552480395855,5.129280852937431,12,-2.697916666666656,-3.8799641231863,-1.5158692101470117
RESULT-PB-sarsa-action-failure-0.15,sarsa,action-failure-0.15,return_sum,higher-is-better,12,12,12,2.8020833333333086,1.7562253712600706,3.847941295406547,12,3.2874999999999748,2.697442049989756,3.8775579500101935,12,-0.485416666666666,-1.2085062247244105,0.23767289139107856
RESULT-PB-sarsa-action-remap-cycle-clockwise,sarsa,action-remap-cycle-clockwise,return_sum,higher-is-better,12,12,12,52.42500000000005,51.211554418629035,53.63844558137106,12,21.297916666666826,19.751384895328734,22.844448438004918,12,31.12708333333322,28.796351630112074,33.457815036554365
RESULT-PB-sarsa-action-remap-swap-right-down,sarsa,action-remap-swap-right-down,return_sum,higher-is-better,12,12,12,33.45625000000013,30.248554314880607,36.66394568511966,12,19.670833333333444,17.371287085544942,21.970379581121946,12,13.785416666666684,9.904321861668603,17.666511471664766
RESULT-PB-sarsa-observation-corruption-0.05,sarsa,observation-corruption-0.05,return_sum,higher-is-better,12,12,12,0.6249999999999898,-0.26881949515256764,1.518819495152547,12,3.7895833333333115,2.4555995840411637,5.12356708262546,12,-3.1645833333333218,-4.916980023568586,-1.412186643098058
